PROBE_DESIGN_ID	HITS_OREO_ILLUMINA
572981_0257_0553	1
572981_0009_0039	1
572981_0192_0564	1
572981_0147_0603	1
572981_0444_0596	1
572981_0340_0524	1
572981_0061_0033	1
572981_0140_0162	1
572981_0066_0292	1
572981_0245_0091	1
572981_0018_0026	1
572981_0031_0073	1
572981_0131_0555	1
572981_0395_0409	1
572981_0285_0199	1
572981_0273_0007	1
572981_0352_0094	1
572981_0247_0601	1
572981_0322_0310	1
572981_0297_0617	1
572981_0353_0485	1
572981_0406_0534	1
572981_0277_0189	1
572981_0403_0207	1
572981_0050_0174	1
572981_0377_0203	1
572981_0171_0099	1
572981_0094_0056	1
572981_0155_0205	1
572981_0200_0096	3
572981_0248_0154	2
572981_0325_0013	1
572981_0362_0376	1
572981_0113_0181	1
572981_0110_0118	1
572981_0216_0140	1
572981_0433_0041	1
572981_0261_0627	1
572981_0217_0359	1
572981_0338_0420	1
572981_0361_0327	1
572981_0047_0397	1
572981_0271_0433	1
572981_0335_0211	1
572981_0441_0123	1
572981_0273_0371	1
572981_0164_0442	1
572981_0396_0188	2
572981_0160_0322	1
572981_0237_0239	1
572981_0329_0471	1
572981_0179_0151	1
572981_0271_0229	2
572981_0369_0201	2
572981_0015_0503	1
572981_0448_0228	1
572981_0171_0049	1
572981_0102_0242	1
572981_0445_0215	1
572981_0212_0350	1
572981_0158_0240	1
572981_0380_0598	1
572981_0427_0369	1
572981_0380_0474	1
572981_0231_0177	1
572981_0010_0430	1
572981_0094_0124	1
572981_0326_0040	1
572981_0316_0286	1
572981_0128_0612	1
572981_0204_0568	1
572981_0213_0447	1
572981_0028_0180	1
572981_0392_0540	1
572981_0070_0054	1
572981_0051_0311	1
572981_0423_0621	1
572981_0146_0092	1
572981_0041_0251	1
572981_0013_0323	1
572981_0233_0433	1
572981_0032_0094	1
572981_0021_0359	1
572981_0073_0307	1
572981_0312_0314	1
572981_0111_0537	1
572981_0258_0446	1
572981_0272_0034	1
572981_0072_0166	1
572981_0140_0538	1
572981_0326_0494	1
572981_0336_0066	1
572981_0393_0347	1
572981_0144_0524	1
572981_0373_0091	1
572981_0089_0113	1
572981_0387_0539	1
572981_0029_0227	1
572981_0406_0208	1
572981_0343_0235	1
572981_0341_0555	1
572981_0264_0504	1
572981_0211_0247	1
572981_0303_0425	1
572981_0121_0541	1
572981_0277_0077	1
572981_0329_0539	1
572981_0230_0402	1
572981_0421_0213	1
572981_0249_0479	1
572981_0111_0189	1
572981_0092_0226	1
572981_0299_0173	1
572981_0444_0556	1
572981_0310_0298	1
572981_0114_0504	1
572981_0436_0586	1
572981_0336_0540	1
572981_0086_0430	1
572981_0164_0324	1
572981_0244_0302	1
572981_0151_0515	1
572981_0082_0394	1
572981_0374_0204	1
572981_0191_0025	1
572981_0287_0479	1
572981_0351_0087	1
572981_0442_0582	1
572981_0242_0430	1
572981_0437_0629	1
572981_0013_0235	1
572981_0396_0030	1
572981_0243_0095	1
572981_0229_0299	1
572981_0262_0506	1
572981_0305_0557	1
572981_0289_0207	1
572981_0286_0124	1
572981_0330_0094	1
572981_0121_0495	1
572981_0381_0505	1
572981_0151_0385	1
572981_0120_0444	1
572981_0426_0138	2
572981_0395_0147	1
572981_0121_0531	1
572981_0304_0326	1
572981_0133_0487	1
572981_0161_0475	1
572981_0433_0221	1
572981_0455_0251	1
572981_0026_0240	1
572981_0289_0183	1
572981_0398_0626	1
572981_0012_0034	1
572981_0415_0475	1
572981_0157_0625	1
572981_0366_0396	1
572981_0036_0380	1
572981_0174_0552	1
